GO biological process complete 	num_total 	num_seen 	expected 	Fold Enrichment 	+/- 	raw P value 	FDR
RNA transport 	161 	73 	41.33 	1.77 	+ 	7.15E-05 	3.69E-03
protein targeting to ER 	41 	29 	10.53 	2.76 	+ 	6.67E-05 	3.50E-03
carbohydrate biosynthetic process 	65 	39 	16.69 	2.34 	+ 	6.47E-05 	3.43E-03
rRNA metabolic process 	297 	118 	76.25 	1.55 	+ 	5.84E-05 	3.13E-03
alcohol metabolic process 	93 	50 	23.88 	2.09 	+ 	5.46E-05 	2.96E-03
monocarboxylic acid metabolic process 	160 	74 	41.08 	1.80 	+ 	4.72E-05 	2.58E-03
establishment of protein localization to endoplasmic reticulum 	42 	30 	10.78 	2.78 	+ 	4.37E-05 	2.44E-03
actin filament-based process 	118 	59 	30.29 	1.95 	+ 	4.39E-05 	2.43E-03
protein localization 	836 	280 	214.62 	1.30 	+ 	4.05E-05 	2.34E-03
cellular catabolic process 	759 	258 	194.85 	1.32 	+ 	4.09E-05 	2.34E-03
organophosphate biosynthetic process 	246 	103 	63.15 	1.63 	+ 	4.11E-05 	2.32E-03
organic cyclic compound metabolic process 	1636 	503 	420.00 	1.20 	+ 	3.81E-05 	2.23E-03
cellular protein localization 	693 	239 	177.91 	1.34 	+ 	3.69E-05 	2.20E-03
rRNA processing 	280 	114 	71.88 	1.59 	+ 	3.70E-05 	2.18E-03
Unclassified 	48 	0 	12.32 	< 0.01 	- 	3.42E-05 	2.09E-03
biological_process 	5978 	1547 	1534.68 	1.01 	+ 	3.42E-05 	2.06E-03
carbohydrate metabolic process 	231 	99 	59.30 	1.67 	+ 	2.53E-05 	1.56E-03
protein localization to endoplasmic reticulum 	57 	37 	14.63 	2.53 	+ 	2.50E-05 	1.56E-03
cellular macromolecule localization 	714 	247 	183.30 	1.35 	+ 	2.19E-05 	1.40E-03
actin cytoskeleton organization 	114 	59 	29.27 	2.02 	+ 	2.20E-05 	1.39E-03
RNA localization 	185 	84 	47.49 	1.77 	+ 	2.03E-05 	1.31E-03
organic substance transport 	915 	306 	234.90 	1.30 	+ 	1.67E-05 	1.09E-03
peptide transport 	678 	238 	174.06 	1.37 	+ 	1.46E-05 	9.68E-04
organic substance catabolic process 	692 	242 	177.65 	1.36 	+ 	1.43E-05 	9.59E-04
nuclear transport 	168 	79 	43.13 	1.83 	+ 	1.30E-05 	9.09E-04
protein transport 	670 	236 	172.00 	1.37 	+ 	1.33E-05 	9.02E-04
nucleocytoplasmic transport 	168 	79 	43.13 	1.83 	+ 	1.30E-05 	8.97E-04
amide transport 	693 	243 	177.91 	1.37 	+ 	1.19E-05 	8.39E-04
pyruvate metabolic process 	38 	30 	9.76 	3.08 	+ 	1.11E-05 	7.94E-04
ATP metabolic process 	93 	53 	23.88 	2.22 	+ 	9.65E-06 	7.11E-04
establishment of protein localization 	693 	244 	177.91 	1.37 	+ 	9.68E-06 	7.04E-04
protein folding 	118 	62 	30.29 	2.05 	+ 	8.82E-06 	6.60E-04
protein metabolic process 	1391 	444 	357.10 	1.24 	+ 	5.96E-06 	4.52E-04
intracellular protein transport 	504 	190 	129.39 	1.47 	+ 	4.07E-06 	3.13E-04
macromolecule localization 	926 	315 	237.72 	1.33 	+ 	3.70E-06 	2.89E-04
macromolecule biosynthetic process 	966 	328 	247.99 	1.32 	+ 	2.56E-06 	2.03E-04
cellular macromolecule biosynthetic process 	950 	326 	243.88 	1.34 	+ 	1.27E-06 	1.02E-04
ribonucleotide biosynthetic process 	77 	50 	19.77 	2.53 	+ 	1.03E-06 	8.52E-05
carbohydrate derivative biosynthetic process 	237 	108 	60.84 	1.78 	+ 	1.03E-06 	8.45E-05
catabolic process 	851 	298 	218.47 	1.36 	+ 	9.76E-07 	8.23E-05
ribonucleoprotein complex biogenesis 	478 	186 	122.71 	1.52 	+ 	9.40E-07 	8.05E-05
cellular localization 	929 	321 	238.49 	1.35 	+ 	8.53E-07 	7.43E-05
ribosome biogenesis 	394 	160 	101.15 	1.58 	+ 	7.70E-07 	6.81E-05
cellular component biogenesis 	1101 	372 	282.65 	1.32 	+ 	5.37E-07 	4.83E-05
generation of precursor metabolites and energy 	211 	101 	54.17 	1.86 	+ 	4.14E-07 	3.86E-05
purine ribonucleotide biosynthetic process 	63 	45 	16.17 	2.78 	+ 	4.15E-07 	3.80E-05
alpha-amino acid biosynthetic process 	121 	69 	31.06 	2.22 	+ 	3.48E-07 	3.30E-05
intracellular transport 	664 	246 	170.46 	1.44 	+ 	3.40E-07 	3.29E-05
ribose phosphate biosynthetic process 	83 	54 	21.31 	2.53 	+ 	2.79E-07 	2.75E-05
cellular protein metabolic process 	1259 	420 	323.21 	1.30 	+ 	2.13E-07 	2.13E-05
nucleoside phosphate biosynthetic process 	129 	73 	33.12 	2.20 	+ 	1.85E-07 	1.93E-05
cellular amino acid biosynthetic process 	129 	73 	33.12 	2.20 	+ 	1.85E-07 	1.89E-05
nucleotide biosynthetic process 	126 	72 	32.35 	2.23 	+ 	1.44E-07 	1.53E-05
alpha-amino acid metabolic process 	179 	92 	45.95 	2.00 	+ 	1.30E-07 	1.41E-05
gene expression 	1197 	405 	307.29 	1.32 	+ 	1.08E-07 	1.19E-05
transposition 	97 	2 	24.90 	.08 	- 	9.47E-08 	1.07E-05
phosphate-containing compound metabolic process 	691 	259 	177.39 	1.46 	+ 	6.82E-08 	7.87E-06
localization 	1498 	492 	384.57 	1.28 	+ 	5.12E-08 	6.04E-06
DNA recombination 	233 	20 	59.82 	.33 	- 	4.69E-08 	5.66E-06
purine-containing compound biosynthetic process 	77 	54 	19.77 	2.73 	+ 	4.19E-08 	5.17E-06
establishment of localization 	1326 	446 	340.41 	1.31 	+ 	2.67E-08 	3.46E-06
purine nucleotide biosynthetic process 	71 	52 	18.23 	2.85 	+ 	2.71E-08 	3.43E-06
organic acid biosynthetic process 	192 	100 	49.29 	2.03 	+ 	1.95E-08 	2.65E-06
carboxylic acid biosynthetic process 	192 	100 	49.29 	2.03 	+ 	1.95E-08 	2.59E-06
phosphorus metabolic process 	709 	268 	182.02 	1.47 	+ 	1.80E-08 	2.51E-06
cellular nitrogen compound metabolic process 	1883 	602 	483.41 	1.25 	+ 	1.58E-08 	2.27E-06
transport 	1285 	437 	329.89 	1.32 	+ 	1.29E-08 	1.90E-06
organophosphate metabolic process 	370 	163 	94.99 	1.72 	+ 	7.90E-09 	1.20E-06
transposition, RNA-mediated 	91 	0 	23.36 	< 0.01 	- 	1.32E-09 	2.07E-07
cellular nitrogen compound biosynthetic process 	940 	348 	241.32 	1.44 	+ 	3.51E-10 	5.65E-08
cellular amino acid metabolic process 	242 	127 	62.13 	2.04 	+ 	1.28E-10 	2.12E-08
carbohydrate derivative metabolic process 	334 	160 	85.74 	1.87 	+ 	1.02E-10 	1.75E-08
ribonucleotide metabolic process 	118 	80 	30.29 	2.64 	+ 	7.91E-11 	1.40E-08
nucleoside phosphate metabolic process 	189 	109 	48.52 	2.25 	+ 	5.35E-11 	9.79E-09
purine ribonucleotide metabolic process 	104 	75 	26.70 	2.81 	+ 	4.82E-11 	9.14E-09
ribose phosphate metabolic process 	125 	84 	32.09 	2.62 	+ 	4.01E-11 	7.89E-09
peptide biosynthetic process 	369 	175 	94.73 	1.85 	+ 	2.34E-11 	4.78E-09
translation 	365 	174 	93.70 	1.86 	+ 	1.92E-11 	4.07E-09
small molecule biosynthetic process 	331 	163 	84.97 	1.92 	+ 	1.34E-11 	2.96E-09
nucleotide metabolic process 	182 	109 	46.72 	2.33 	+ 	1.04E-11 	2.41E-09
nucleobase-containing small molecule metabolic process 	219 	123 	56.22 	2.19 	+ 	8.83E-12 	2.13E-09
purine-containing compound metabolic process 	129 	88 	33.12 	2.66 	+ 	7.78E-12 	1.97E-09
amide biosynthetic process 	418 	194 	107.31 	1.81 	+ 	7.16E-12 	1.90E-09
purine nucleotide metabolic process 	113 	82 	29.01 	2.83 	+ 	3.62E-12 	1.01E-09
peptide metabolic process 	402 	191 	103.20 	1.85 	+ 	2.31E-12 	6.82E-10
oxidation-reduction process 	451 	211 	115.78 	1.82 	+ 	3.47E-13 	1.08E-10
cellular amide metabolic process 	487 	226 	125.02 	1.81 	+ 	7.74E-14 	2.57E-11
nitrogen compound metabolic process 	2840 	895 	729.09 	1.23 	+ 	5.86E-14 	2.07E-11
carboxylic acid metabolic process 	395 	200 	101.40 	1.97 	+ 	5.14E-15 	1.95E-12
oxoacid metabolic process 	413 	210 	106.03 	1.98 	+ 	6.35E-16 	2.59E-13
organic acid metabolic process 	415 	211 	106.54 	1.98 	+ 	4.81E-16 	2.13E-13
organonitrogen compound metabolic process 	1901 	677 	488.03 	1.39 	+ 	5.52E-19 	2.67E-16
cellular biosynthetic process 	1480 	562 	379.95 	1.48 	+ 	9.66E-20 	5.13E-17
biosynthetic process 	1543 	588 	396.12 	1.48 	+ 	3.27E-21 	1.93E-18
primary metabolic process 	3048 	990 	782.49 	1.27 	+ 	2.46E-21 	1.63E-18
small molecule metabolic process 	710 	334 	182.27 	1.83 	+ 	1.84E-21 	1.63E-18
organonitrogen compound biosynthetic process 	868 	385 	222.83 	1.73 	+ 	2.01E-21 	1.53E-18
organic substance biosynthetic process 	1508 	581 	387.14 	1.50 	+ 	7.32E-22 	9.72E-19
organic substance metabolic process 	3236 	1039 	830.75 	1.25 	+ 	7.82E-22 	8.30E-19
cellular process 	4643 	1366 	1191.96 	1.15 	+ 	1.78E-24 	3.15E-21
cellular metabolic process 	3304 	1076 	848.21 	1.27 	+ 	3.84E-26 	1.02E-22
metabolic process 	3508 	1133 	900.58 	1.26 	+ 	3.08E-28 	1.64E-24
