GO biological process complete 	num_total 	num_seen 	expected 	Fold Enrichment 	+/- 	raw P value 	FDR
purine ribonucleoside monophosphate biosynthetic process 	23 	12 	2.69 	4.45 	+ 	1.38E-04 	7.02E-03
nucleoside phosphate biosynthetic process 	129 	33 	15.11 	2.18 	+ 	1.40E-04 	7.01E-03
purine nucleoside monophosphate biosynthetic process 	23 	12 	2.69 	4.45 	+ 	1.38E-04 	6.96E-03
chaperone cofactor-dependent protein refolding 	19 	11 	2.23 	4.94 	+ 	1.31E-04 	6.82E-03
'de novo' posttranslational protein folding 	19 	11 	2.23 	4.94 	+ 	1.31E-04 	6.76E-03
organic substance transport 	915 	148 	107.20 	1.38 	+ 	1.29E-04 	6.76E-03
regulation of cellular component biogenesis 	191 	44 	22.38 	1.97 	+ 	1.21E-04 	6.42E-03
lysine metabolic process 	15 	10 	1.76 	5.69 	+ 	1.14E-04 	6.10E-03
nucleotide biosynthetic process 	126 	33 	14.76 	2.24 	+ 	1.07E-04 	5.82E-03
ribose phosphate biosynthetic process 	83 	25 	9.72 	2.57 	+ 	1.04E-04 	5.68E-03
purine nucleotide biosynthetic process 	71 	23 	8.32 	2.76 	+ 	1.03E-04 	5.67E-03
purine-containing compound biosynthetic process 	77 	24 	9.02 	2.66 	+ 	9.93E-05 	5.67E-03
SRP-dependent cotranslational protein targeting to membrane 	22 	12 	2.58 	4.66 	+ 	9.98E-05 	5.64E-03
cotranslational protein targeting to membrane 	22 	12 	2.58 	4.66 	+ 	9.98E-05 	5.58E-03
trehalose metabolic process 	11 	9 	1.29 	6.98 	+ 	8.43E-05 	4.86E-03
transposition, RNA-mediated 	91 	0 	10.66 	< 0.01 	- 	8.22E-05 	4.80E-03
ribonucleoside diphosphate metabolic process 	29 	14 	3.40 	4.12 	+ 	7.37E-05 	4.66E-03
purine ribonucleoside diphosphate metabolic process 	29 	14 	3.40 	4.12 	+ 	7.37E-05 	4.60E-03
nucleotide phosphorylation 	29 	14 	3.40 	4.12 	+ 	7.37E-05 	4.55E-03
macromolecule localization 	926 	151 	108.49 	1.39 	+ 	7.11E-05 	4.55E-03
import into nucleus 	66 	22 	7.73 	2.85 	+ 	7.55E-05 	4.50E-03
purine nucleoside diphosphate metabolic process 	29 	14 	3.40 	4.12 	+ 	7.37E-05 	4.50E-03
mRNA transport 	96 	28 	11.25 	2.49 	+ 	7.60E-05 	4.49E-03
response to osmotic stress 	95 	28 	11.13 	2.52 	+ 	6.90E-05 	4.47E-03
nucleoside diphosphate phosphorylation 	29 	14 	3.40 	4.12 	+ 	7.37E-05 	4.45E-03
cellular polysaccharide metabolic process 	55 	20 	6.44 	3.10 	+ 	5.98E-05 	3.92E-03
regulation of biological process 	1727 	255 	202.33 	1.26 	+ 	5.77E-05 	3.83E-03
ADP metabolic process 	28 	14 	3.28 	4.27 	+ 	5.49E-05 	3.69E-03
acyl-CoA metabolic process 	20 	12 	2.34 	5.12 	+ 	5.01E-05 	3.45E-03
thioester metabolic process 	20 	12 	2.34 	5.12 	+ 	5.01E-05 	3.41E-03
nucleobase-containing compound transport 	207 	48 	24.25 	1.98 	+ 	4.11E-05 	2.87E-03
'de novo' protein folding 	27 	14 	3.16 	4.43 	+ 	4.04E-05 	2.86E-03
ncRNA metabolic process 	457 	87 	53.54 	1.62 	+ 	3.90E-05 	2.80E-03
transposition 	97 	0 	11.36 	< 0.01 	- 	3.39E-05 	2.47E-03
ATP generation from ADP 	26 	14 	3.05 	4.60 	+ 	2.94E-05 	2.20E-03
glucan biosynthetic process 	34 	16 	3.98 	4.02 	+ 	2.90E-05 	2.20E-03
glycolytic process 	26 	14 	3.05 	4.60 	+ 	2.94E-05 	2.17E-03
nucleic acid transport 	163 	42 	19.10 	2.20 	+ 	2.16E-05 	1.66E-03
polysaccharide biosynthetic process 	37 	17 	4.33 	3.92 	+ 	2.08E-05 	1.63E-03
carbohydrate catabolic process 	82 	27 	9.61 	2.81 	+ 	1.93E-05 	1.53E-03
cellular nitrogen compound metabolic process 	1883 	278 	220.61 	1.26 	+ 	1.64E-05 	1.32E-03
cellular polysaccharide biosynthetic process 	36 	17 	4.22 	4.03 	+ 	1.58E-05 	1.29E-03
regulation of biological quality 	582 	107 	68.19 	1.57 	+ 	1.37E-05 	1.14E-03
establishment of RNA localization 	161 	42 	18.86 	2.23 	+ 	1.20E-05 	1.03E-03
RNA transport 	161 	42 	18.86 	2.23 	+ 	1.20E-05 	1.01E-03
protein refolding 	34 	17 	3.98 	4.27 	+ 	8.83E-06 	7.69E-04
cellular amino acid biosynthetic process 	129 	37 	15.11 	2.45 	+ 	7.49E-06 	6.63E-04
cellular catabolic process 	759 	134 	88.92 	1.51 	+ 	5.83E-06 	5.25E-04
carbohydrate derivative biosynthetic process 	237 	56 	27.77 	2.02 	+ 	5.70E-06 	5.22E-04
generation of precursor metabolites and energy 	211 	52 	24.72 	2.10 	+ 	4.57E-06 	4.50E-04
organic acid biosynthetic process 	192 	49 	22.49 	2.18 	+ 	4.60E-06 	4.44E-04
heterocycle metabolic process 	1581 	244 	185.23 	1.32 	+ 	4.75E-06 	4.42E-04
carboxylic acid biosynthetic process 	192 	49 	22.49 	2.18 	+ 	4.60E-06 	4.37E-04
alpha-amino acid biosynthetic process 	121 	36 	14.18 	2.54 	+ 	4.28E-06 	4.29E-04
cellular carbohydrate metabolic process 	136 	39 	15.93 	2.45 	+ 	3.91E-06 	3.99E-04
RNA localization 	185 	48 	21.67 	2.21 	+ 	3.28E-06 	3.41E-04
cellular carbohydrate biosynthetic process 	47 	21 	5.51 	3.81 	+ 	3.19E-06 	3.39E-04
cellular aromatic compound metabolic process 	1568 	244 	183.71 	1.33 	+ 	2.35E-06 	2.55E-04
monocarboxylic acid metabolic process 	160 	44 	18.75 	2.35 	+ 	2.21E-06 	2.45E-04
nucleobase-containing compound metabolic process 	1479 	233 	173.28 	1.34 	+ 	1.92E-06 	2.31E-04
tRNA aminoacylation 	41 	20 	4.80 	4.16 	+ 	1.92E-06 	2.27E-04
amino acid activation 	41 	20 	4.80 	4.16 	+ 	1.92E-06 	2.22E-04
tRNA aminoacylation for protein translation 	37 	19 	4.33 	4.38 	+ 	1.94E-06 	2.19E-04
organophosphate metabolic process 	370 	80 	43.35 	1.85 	+ 	1.37E-06 	1.69E-04
establishment of localization 	1326 	215 	155.35 	1.38 	+ 	9.96E-07 	1.26E-04
transport 	1285 	210 	150.55 	1.39 	+ 	7.68E-07 	9.95E-05
oxidation-reduction process 	451 	94 	52.84 	1.78 	+ 	5.59E-07 	7.42E-05
carbohydrate biosynthetic process 	65 	27 	7.62 	3.55 	+ 	4.02E-07 	5.48E-05
nuclear transport 	168 	48 	19.68 	2.44 	+ 	3.42E-07 	4.91E-05
nucleocytoplasmic transport 	168 	48 	19.68 	2.44 	+ 	3.42E-07 	4.78E-05
phosphate-containing compound metabolic process 	691 	131 	80.96 	1.62 	+ 	2.80E-07 	4.12E-05
localization 	1498 	241 	175.50 	1.37 	+ 	2.05E-07 	3.31E-05
organic cyclic compound metabolic process 	1636 	259 	191.67 	1.35 	+ 	2.09E-07 	3.27E-05
carbohydrate metabolic process 	231 	60 	27.06 	2.22 	+ 	2.14E-07 	3.24E-05
small molecule biosynthetic process 	331 	77 	38.78 	1.99 	+ 	1.62E-07 	2.69E-05
biological regulation 	2095 	319 	245.45 	1.30 	+ 	8.08E-08 	1.38E-05
organic substance catabolic process 	692 	135 	81.07 	1.67 	+ 	3.92E-08 	6.94E-06
organonitrogen compound biosynthetic process 	868 	161 	101.69 	1.58 	+ 	2.67E-08 	4.89E-06
nucleoside phosphate metabolic process 	189 	55 	22.14 	2.48 	+ 	2.44E-08 	4.64E-06
catabolic process 	851 	159 	99.70 	1.59 	+ 	2.07E-08 	4.08E-06
pyruvate metabolic process 	38 	23 	4.45 	5.17 	+ 	1.65E-08 	3.36E-06
phosphorus metabolic process 	709 	139 	83.07 	1.67 	+ 	1.40E-08 	2.97E-06
alpha-amino acid metabolic process 	179 	54 	20.97 	2.57 	+ 	1.10E-08 	2.43E-06
purine ribonucleotide metabolic process 	104 	39 	12.18 	3.20 	+ 	1.05E-08 	2.42E-06
nucleotide metabolic process 	182 	55 	21.32 	2.58 	+ 	7.52E-09 	1.81E-06
ribonucleotide metabolic process 	118 	43 	13.82 	3.11 	+ 	3.65E-09 	9.23E-07
ribose phosphate metabolic process 	125 	45 	14.64 	3.07 	+ 	2.13E-09 	5.66E-07
purine nucleotide metabolic process 	113 	43 	13.24 	3.25 	+ 	1.26E-09 	3.52E-07
nucleobase-containing small molecule metabolic process 	219 	64 	25.66 	2.49 	+ 	1.16E-09 	3.43E-07
purine-containing compound metabolic process 	129 	47 	15.11 	3.11 	+ 	6.71E-10 	2.10E-07
cellular biosynthetic process 	1480 	255 	173.40 	1.47 	+ 	1.19E-10 	3.94E-08
carbohydrate derivative metabolic process 	334 	88 	39.13 	2.25 	+ 	7.25E-11 	2.57E-08
organonitrogen compound metabolic process 	1901 	313 	222.72 	1.41 	+ 	2.41E-11 	9.13E-09
biosynthetic process 	1543 	269 	180.78 	1.49 	+ 	7.14E-12 	2.92E-09
nitrogen compound metabolic process 	2840 	429 	332.73 	1.29 	+ 	6.43E-12 	2.84E-09
organic substance biosynthetic process 	1508 	266 	176.68 	1.51 	+ 	2.74E-12 	1.32E-09
cellular amino acid metabolic process 	242 	77 	28.35 	2.72 	+ 	6.87E-13 	3.65E-10
primary metabolic process 	3048 	477 	357.10 	1.34 	+ 	6.61E-18 	3.90E-15
carboxylic acid metabolic process 	395 	120 	46.28 	2.59 	+ 	1.31E-18 	8.69E-16
cellular process 	4643 	639 	543.97 	1.17 	+ 	7.94E-19 	7.03E-16
cellular metabolic process 	3304 	508 	387.09 	1.31 	+ 	8.69E-19 	6.59E-16
small molecule metabolic process 	710 	177 	83.18 	2.13 	+ 	1.36E-19 	2.41E-16
metabolic process 	3508 	532 	410.99 	1.29 	+ 	2.16E-19 	2.29E-16
organic substance metabolic process 	3236 	503 	379.13 	1.33 	+ 	1.70E-19 	2.26E-16
organic acid metabolic process 	415 	128 	48.62 	2.63 	+ 	2.85E-20 	1.51E-16
oxoacid metabolic process 	413 	127 	48.39 	2.62 	+ 	4.83E-20 	1.28E-16
