GO biological process complete 	num_total 	num_seen 	expected 	Fold Enrichment 	+/- 	raw P value 	FDR
cellular nitrogen compound biosynthetic process 	940 	235 	166.44 	1.41 	+ 	5.21E-07 	7.28E-05
amide biosynthetic process 	418 	125 	74.01 	1.69 	+ 	3.49E-07 	5.01E-05
phosphorus metabolic process 	709 	188 	125.54 	1.50 	+ 	3.18E-07 	4.70E-05
alpha-amino acid biosynthetic process 	121 	53 	21.42 	2.47 	+ 	2.35E-07 	3.56E-05
peptide metabolic process 	402 	122 	71.18 	1.71 	+ 	2.23E-07 	3.48E-05
nucleoside phosphate metabolic process 	189 	72 	33.47 	2.15 	+ 	1.22E-07 	1.96E-05
purine ribonucleotide metabolic process 	104 	49 	18.41 	2.66 	+ 	1.16E-07 	1.92E-05
ribonucleotide metabolic process 	118 	53 	20.89 	2.54 	+ 	9.62E-08 	1.65E-05
cellular nitrogen compound metabolic process 	1883 	424 	333.42 	1.27 	+ 	8.19E-08 	1.45E-05
cellular amino acid biosynthetic process 	129 	57 	22.84 	2.50 	+ 	5.45E-08 	9.98E-06
ribose phosphate metabolic process 	125 	56 	22.13 	2.53 	+ 	3.87E-08 	7.33E-06
nucleotide metabolic process 	182 	72 	32.23 	2.23 	+ 	2.93E-08 	5.77E-06
alpha-amino acid metabolic process 	179 	72 	31.69 	2.27 	+ 	2.29E-08 	4.68E-06
purine-containing compound metabolic process 	129 	58 	22.84 	2.54 	+ 	1.93E-08 	4.09E-06
purine nucleotide metabolic process 	113 	54 	20.01 	2.70 	+ 	1.61E-08 	3.56E-06
carbohydrate derivative metabolic process 	334 	111 	59.14 	1.88 	+ 	1.48E-08 	3.41E-06
nucleobase-containing small molecule metabolic process 	219 	83 	38.78 	2.14 	+ 	1.32E-08 	3.19E-06
organic acid biosynthetic process 	192 	80 	34.00 	2.35 	+ 	6.64E-10 	1.76E-07
carboxylic acid biosynthetic process 	192 	80 	34.00 	2.35 	+ 	6.64E-10 	1.68E-07
cellular amide metabolic process 	487 	153 	86.23 	1.77 	+ 	5.79E-10 	1.62E-07
small molecule biosynthetic process 	331 	119 	58.61 	2.03 	+ 	8.64E-11 	2.55E-08
oxidation-reduction process 	451 	148 	79.86 	1.85 	+ 	7.74E-11 	2.42E-08
cellular amino acid metabolic process 	242 	107 	42.85 	2.50 	+ 	4.06E-14 	1.35E-11
nitrogen compound metabolic process 	2840 	638 	502.87 	1.27 	+ 	2.34E-14 	8.27E-12
organonitrogen compound metabolic process 	1901 	473 	336.60 	1.41 	+ 	1.38E-15 	5.23E-13
organonitrogen compound biosynthetic process 	868 	265 	153.69 	1.72 	+ 	4.05E-16 	1.65E-13
cellular biosynthetic process 	1480 	399 	262.06 	1.52 	+ 	2.29E-17 	1.01E-14
carboxylic acid metabolic process 	395 	158 	69.94 	2.26 	+ 	1.56E-17 	7.54E-15
biosynthetic process 	1543 	418 	273.21 	1.53 	+ 	8.49E-19 	4.51E-16
oxoacid metabolic process 	413 	167 	73.13 	2.28 	+ 	5.92E-19 	3.49E-16
organic acid metabolic process 	415 	168 	73.48 	2.29 	+ 	4.11E-19 	2.73E-16
organic substance biosynthetic process 	1508 	413 	267.02 	1.55 	+ 	2.53E-19 	1.92E-16
primary metabolic process 	3048 	701 	539.70 	1.30 	+ 	3.95E-20 	3.50E-17
small molecule metabolic process 	710 	247 	125.72 	1.96 	+ 	5.33E-21 	5.67E-18
cellular process 	4643 	953 	822.12 	1.16 	+ 	7.32E-22 	9.71E-19
organic substance metabolic process 	3236 	741 	572.99 	1.29 	+ 	3.49E-22 	6.19E-19
cellular metabolic process 	3304 	759 	585.03 	1.30 	+ 	5.95E-24 	1.58E-20
metabolic process 	3508 	797 	621.15 	1.28 	+ 	2.48E-25 	1.32E-21
